Date,Ticker,Close
1973-02-21,BAC,4.625
1973-02-22,BAC,4.640625
1973-02-23,BAC,4.625
1973-02-26,BAC,4.625
1973-02-27,BAC,4.625
1973-02-28,BAC,4.625
1973-03-01,BAC,4.65625
1973-03-02,BAC,4.671875
1973-03-05,BAC,4.734375
1973-03-06,BAC,4.875
1973-03-07,BAC,4.875
1973-03-08,BAC,4.90625
1973-03-09,BAC,4.90625
1973-03-12,BAC,4.890625
1973-03-13,BAC,4.90625
1973-03-14,BAC,4.921875
1973-03-15,BAC,4.90625
1973-03-16,BAC,4.890625
1973-03-19,BAC,4.84375
1973-03-20,BAC,4.75
1973-03-21,BAC,4.6875
1973-03-22,BAC,4.609375
1973-03-23,BAC,4.609375
1973-03-26,BAC,4.59375
1973-03-27,BAC,4.59375
1973-03-28,BAC,4.65625
1973-03-29,BAC,4.71875
1973-03-30,BAC,4.71875
1973-04-02,BAC,4.6875
1973-04-03,BAC,4.65625
1973-04-04,BAC,4.625
1973-04-05,BAC,4.609375
1973-04-06,BAC,4.609375
1973-04-09,BAC,4.609375
1973-04-10,BAC,4.71875
1973-04-11,BAC,4.75
1973-04-12,BAC,4.8125
1973-04-13,BAC,4.8125
1973-04-16,BAC,4.8125
1973-04-17,BAC,4.6875
1973-04-18,BAC,4.671875
1973-04-19,BAC,4.6875
1973-04-23,BAC,4.625
1973-04-24,BAC,4.59375
1973-04-25,BAC,4.5625
1973-04-26,BAC,4.5625
1973-04-27,BAC,4.53125
1973-04-30,BAC,4.46875
1973-05-01,BAC,4.4375
1973-05-02,BAC,4.453125
1973-05-03,BAC,4.4375
1973-05-04,BAC,4.484375
1973-05-07,BAC,4.5
1973-05-08,BAC,4.515625
1973-05-09,BAC,4.640625
1973-05-10,BAC,4.75
1973-05-11,BAC,4.765625
1973-05-14,BAC,4.59375
1973-05-15,BAC,4.578125
1973-05-16,BAC,4.671875
1973-05-17,BAC,4.671875
1973-05-18,BAC,4.625
1973-05-21,BAC,4.609375
1973-05-22,BAC,4.65625
1973-05-23,BAC,4.671875
1973-05-24,BAC,4.78125
1973-05-25,BAC,4.84375
1973-05-29,BAC,4.875
1973-05-30,BAC,4.796875
1973-05-31,BAC,4.796875
1973-06-01,BAC,4.796875
1973-06-04,BAC,4.578125
1973-06-05,BAC,4.5
1973-06-06,BAC,4.4375
1973-06-07,BAC,4.46875
1973-06-08,BAC,4.484375
1973-06-11,BAC,4.5
1973-06-12,BAC,4.546875
1973-06-13,BAC,4.5625
1973-06-14,BAC,4.59375
1973-06-15,BAC,4.546875
1973-06-18,BAC,4.46875
1973-06-19,BAC,4.421875
1973-06-20,BAC,4.390625
1973-06-21,BAC,4.375
1973-06-22,BAC,4.375
1973-06-25,BAC,4.296875
1973-06-26,BAC,4.328125
1973-06-27,BAC,4.3125
1973-06-28,BAC,4.265625
1973-06-29,BAC,4.28125
1973-07-02,BAC,4.3125
1973-07-03,BAC,4.296875
1973-07-05,BAC,4.28125
1973-07-06,BAC,4.28125
1973-07-09,BAC,4.3125
1973-07-10,BAC,4.34375
1973-07-11,BAC,4.359375
1973-07-12,BAC,4.34375
1973-07-13,BAC,4.375
1973-07-16,BAC,4.40625
1973-07-17,BAC,4.4375
1973-07-18,BAC,4.5625
1973-07-19,BAC,4.859375
1973-07-20,BAC,4.984375
1973-07-23,BAC,4.9375
1973-07-24,BAC,4.90625
1973-07-25,BAC,4.90625
1973-07-26,BAC,4.90625
1973-07-27,BAC,4.875
1973-07-30,BAC,4.84375
1973-07-31,BAC,4.84375
1973-08-01,BAC,4.78125
1973-08-02,BAC,4.703125
1973-08-03,BAC,4.703125
1973-08-06,BAC,4.6875
1973-08-07,BAC,4.6875
1973-08-08,BAC,4.640625
1973-08-09,BAC,4.6875
1973-08-10,BAC,4.703125
1973-08-13,BAC,4.6875
1973-08-14,BAC,4.6875
1973-08-15,BAC,4.671875
1973-08-16,BAC,4.671875
1973-08-17,BAC,4.71875
1973-08-20,BAC,4.71875
1973-08-21,BAC,4.71875
1973-08-22,BAC,4.65625
1973-08-23,BAC,4.65625
1973-08-24,BAC,4.671875
1973-08-27,BAC,4.6875
1973-08-28,BAC,4.75
1973-08-29,BAC,4.8125
1973-08-30,BAC,4.75
1973-08-31,BAC,4.78125
1973-09-04,BAC,4.796875
1973-09-05,BAC,4.765625
1973-09-06,BAC,4.78125
1973-09-07,BAC,4.84375
1973-09-10,BAC,4.875
1973-09-11,BAC,4.8125
1973-09-12,BAC,4.796875
1973-09-13,BAC,4.8125
1973-09-14,BAC,4.8125
1973-09-17,BAC,4.84375
1973-09-18,BAC,4.875
1973-09-19,BAC,4.9375
1973-09-20,BAC,4.921875
1973-09-21,BAC,4.90625
1973-09-24,BAC,4.96875
1973-09-25,BAC,4.9375
1973-09-26,BAC,4.9375
1973-09-27,BAC,4.90625
1973-09-28,BAC,4.90625
1973-10-01,BAC,4.90625
1973-10-02,BAC,4.921875
1973-10-03,BAC,4.921875
1973-10-04,BAC,4.921875
1973-10-05,BAC,4.90625
1973-10-08,BAC,4.90625
1973-10-09,BAC,4.90625
1973-10-10,BAC,4.984375
1973-10-11,BAC,5.109375
1973-10-12,BAC,5.1875
1973-10-15,BAC,5.15625
1973-10-16,BAC,5.15625
1973-10-17,BAC,5.171875
1973-10-18,BAC,5.171875
1973-10-19,BAC,5.25
1973-10-22,BAC,5.1875
1973-10-23,BAC,5.125
1973-10-24,BAC,5.09375
1973-10-25,BAC,5.109375
1973-10-26,BAC,5.125
1973-10-29,BAC,5.125
1973-10-30,BAC,4.984375
1973-10-31,BAC,4.90625
1973-11-01,BAC,4.875
1973-11-02,BAC,4.859375
1973-11-05,BAC,4.859375
1973-11-06,BAC,4.875
1973-11-07,BAC,5.0
1973-11-08,BAC,5.0625
1973-11-09,BAC,5.0625
1973-11-12,BAC,5.046875
1973-11-13,BAC,5.046875
1973-11-14,BAC,4.96875
1973-11-15,BAC,4.984375
1973-11-16,BAC,5.015625
1973-11-19,BAC,4.9375
1973-11-20,BAC,4.703125
1973-11-21,BAC,4.796875
1973-11-23,BAC,4.78125
1973-11-26,BAC,4.78125
