Date,Dividends,Stock Splits,Ticker
1999-08-10 00:00:00-04:00,0.12,0.0,GS
1999-10-21 00:00:00-04:00,0.12,0.0,GS
2000-01-20 00:00:00-05:00,0.12,0.0,GS
2000-04-19 00:00:00-04:00,0.12,0.0,GS
2000-07-20 00:00:00-04:00,0.12,0.0,GS
2000-10-19 00:00:00-04:00,0.12,0.0,GS
2001-01-18 00:00:00-05:00,0.12,0.0,GS
2001-04-20 00:00:00-04:00,0.12,0.0,GS
2001-07-27 00:00:00-04:00,0.12,0.0,GS
2001-10-25 00:00:00-04:00,0.12,0.0,GS
2002-01-17 00:00:00-05:00,0.12,0.0,GS
2002-04-26 00:00:00-04:00,0.12,0.0,GS
2002-07-26 00:00:00-04:00,0.12,0.0,GS
2002-10-24 00:00:00-04:00,0.12,0.0,GS
2002-12-26 00:00:00-05:00,0.12,0.0,GS
2003-01-24 00:00:00-05:00,0.12,0.0,GS
2003-04-25 00:00:00-04:00,0.12,0.0,GS
2003-07-25 00:00:00-04:00,0.25,0.0,GS
2003-10-23 00:00:00-04:00,0.25,0.0,GS
2004-01-23 00:00:00-05:00,0.25,0.0,GS
2004-04-23 00:00:00-04:00,0.25,0.0,GS
2004-07-23 00:00:00-04:00,0.25,0.0,GS
2004-10-21 00:00:00-04:00,0.25,0.0,GS
2005-01-21 00:00:00-05:00,0.25,0.0,GS
2005-04-22 00:00:00-04:00,0.25,0.0,GS
2005-07-22 00:00:00-04:00,0.25,0.0,GS
2005-10-20 00:00:00-04:00,0.25,0.0,GS
2006-01-20 00:00:00-05:00,0.25,0.0,GS
2006-04-21 00:00:00-04:00,0.35,0.0,GS
2006-07-21 00:00:00-04:00,0.35,0.0,GS
2006-10-19 00:00:00-04:00,0.35,0.0,GS
2007-01-19 00:00:00-05:00,0.35,0.0,GS
2007-04-20 00:00:00-04:00,0.35,0.0,GS
2007-07-27 00:00:00-04:00,0.35,0.0,GS
2007-10-25 00:00:00-04:00,0.35,0.0,GS
2008-01-25 00:00:00-05:00,0.35,0.0,GS
2008-04-25 00:00:00-04:00,0.35,0.0,GS
2008-07-25 00:00:00-04:00,0.35,0.0,GS
2008-10-23 00:00:00-04:00,0.35,0.0,GS
2009-02-20 00:00:00-05:00,0.467,0.0,GS
2009-05-21 00:00:00-04:00,0.35,0.0,GS
2009-08-21 00:00:00-04:00,0.35,0.0,GS
2009-11-30 00:00:00-05:00,0.35,0.0,GS
2010-02-26 00:00:00-05:00,0.35,0.0,GS
2010-05-27 00:00:00-04:00,0.35,0.0,GS
2010-08-30 00:00:00-04:00,0.35,0.0,GS
2010-11-30 00:00:00-05:00,0.35,0.0,GS
2011-02-28 00:00:00-05:00,0.35,0.0,GS
2011-05-27 00:00:00-04:00,0.35,0.0,GS
2011-08-30 00:00:00-04:00,0.35,0.0,GS
2011-11-29 00:00:00-05:00,0.35,0.0,GS
2012-02-28 00:00:00-05:00,0.35,0.0,GS
2012-05-29 00:00:00-04:00,0.46,0.0,GS
2012-08-28 00:00:00-04:00,0.46,0.0,GS
2012-11-28 00:00:00-05:00,0.5,0.0,GS
2013-02-26 00:00:00-05:00,0.5,0.0,GS
2013-05-28 00:00:00-04:00,0.5,0.0,GS
2013-08-28 00:00:00-04:00,0.5,0.0,GS
2013-11-27 00:00:00-05:00,0.55,0.0,GS
2014-02-26 00:00:00-05:00,0.55,0.0,GS
2014-05-28 00:00:00-04:00,0.55,0.0,GS
2014-08-27 00:00:00-04:00,0.55,0.0,GS
2014-11-28 00:00:00-05:00,0.6,0.0,GS
2015-02-26 00:00:00-05:00,0.6,0.0,GS
2015-05-28 00:00:00-04:00,0.65,0.0,GS
2015-08-28 00:00:00-04:00,0.65,0.0,GS
2015-11-30 00:00:00-05:00,0.65,0.0,GS
2016-02-29 00:00:00-05:00,0.65,0.0,GS
